sample_id,n_match_genomes_fmg,avg_f_match,avg_median_abund,n_unique_weighted
ERR2241626,31036,0.018763401697542283,1.6635842247712334,449362
ERR2241629,53255,0.01571833474101025,1.54310393390292,661529
ERR2241633,62421,0.01588470847217528,1.6062462953172811,1002747
ERR2241639,27653,0.011019834836657662,2.3799045311539433,902048
ERR2241645,24399,0.010249254060688386,2.354235829337268,1016966
ERR2241648,56724,0.015259662481888522,1.4978316056695578,825003
ERR2241650,51279,0.015990207083897166,1.7079408724819127,633370
ERR2241654,69079,0.016507620513311543,1.699069181661576,1014888
ERR2241656,65478,0.01649655082724852,1.791074864840099,927734
ERR2241660,49975,0.015553305871882684,1.879959979989995,634915
ERR2241662,29711,0.014871246776759982,4.579751607148867,1018718
ERR2241663,59121,0.01575694709635409,1.9793305255323828,726096
ERR2241666,44303,0.019457536683528474,1.6978985621741192,719305
ERR2241667,53143,0.018069523926058133,1.638503659936398,836510
ERR2241671,49913,0.020202348604354662,2.4415783463226015,1579558
ERR2241673,49881,0.01837646627017726,2.257953930354243,948408
ERR2241674,52157,0.021737699501563085,2.183273577851487,1743756
ERR2241676,36583,0.017066420621922478,2.5762785993494246,997091
ERR2241678,29841,0.016025023824843825,1.8133775677758788,290836
ERR2241679,58429,0.018968675125301898,2.401615636071129,1629384
ERR2241685,37886,0.01755796003357335,1.8159082510689966,526084
ERR2241690,28306,0.014766474391493195,2.7550342683529996,1290729
ERR2241692,36542,0.015535061175411103,3.0968200974221443,1952593
ERR2241693,29298,0.013899953840332354,3.0687248276332855,1214343
ERR2241701,23924,0.013355297213642247,3.9396004012706904,961938
ERR2241702,19585,0.00860569053761071,5.629512381924942,935296
ERR2241704,18749,0.009874647823747541,9.965091471545149,937862
ERR2241705,44578,0.018242524376056397,2.832720175871506,866372
ERR2241707,45256,0.017164114202340264,2.1217076188792645,635846
ERR2241712,55346,0.018105105984919614,2.1553228778954217,1029293
ERR2241714,54462,0.019064781640801394,2.6353971576512065,1339952
ERR2241715,28303,0.015374414892963026,1.3609688018937922,274428
ERR2241717,51914,0.01689929514848474,1.5051431213160227,701198
ERR2241722,47924,0.017722471125694205,2.33353851932226,729366
ERR2241723,63932,0.016480796730375235,1.7198194957141963,1051442
ERR2241724,49419,0.018557986262674086,2.308464355814565,884598
ERR2241728,25397,0.014202765595273455,2.8857542229397173,1102865
ERR2241731,33278,0.013502794608682901,2.978183785083238,1198269
ERR2241732,16438,0.012152259164050477,5.622612239931865,1141155
ERR2241733,26514,0.011178598384025285,4.554009202685374,1140206
ERR2241736,30222,0.014592223219291931,3.5462742373105685,856919
ERR2241737,36226,0.01789740784172618,2.5809915530282117,1288255
ERR2241743,34412,0.016134144910601635,2.366659886086249,1110981
ERR2241746,43286,0.018574407875836148,2.026648338954858,837604
ERR2241757,41405,0.019905145504067454,1.9619973433160247,810325
ERR2241760,29261,0.017725730353667108,2.7937015139605617,1104142
ERR2241762,19663,0.010985976905874014,5.288689416670905,1073625
ERR2241764,17090,0.011195659701504074,3.3638092451726154,1305426
ERR2241768,48638,0.017484433222464305,2.1984456597721946,894046
ERR2241769,49269,0.01925780439848774,2.44147435507114,1285764
ERR2241770,22568,0.010678648732325102,3.6063231123714994,1134216
ERR2241772,41608,0.01928330651624632,1.8486108440684483,730400
ERR2241773,43271,0.019475656050717435,2.0150562732546047,824421
ERR2241775,44902,0.019315333573210077,2.0934813594049264,855172
ERR2241778,48612,0.018669515192262592,2.0281926273348145,904439
ERR2241779,43190,0.019985862848519387,1.9223199814771939,886852
ERR2241784,29025,0.012938891137404986,3.1422739018087857,1151352
ERR2241786,31408,0.01847144296752805,1.6114524961793173,412930
ERR2241787,31329,0.019060681009102066,1.6240224711928246,424407
ERR2241789,44544,0.015506460738180928,1.4275323275862069,472017
ERR2241791,17274,0.009585778308379905,2.865867778163714,977563
ERR2241792,40511,0.014829866719484303,1.40375453580509,430186
ERR2241793,63190,0.016321396439434505,1.5820066466213007,942615
ERR2241794,23390,0.011348844023305353,4.143223599828986,969943
ERR2241799,24635,0.013866968161716137,3.4361477572559367,1038756
ERR2241800,66646,0.01591351892599216,1.5369564565015155,793029
ERR2241802,30016,0.013496540268282639,2.1514192430703623,963968
ERR2241807,27405,0.011817718787988644,2.9486590038314175,1188082
ERR2241808,30861,0.010159134571865513,3.0588606979683095,1037794
ERR2241809,27320,0.011350030646076325,2.67955710102489,1152067
ERR2241817,63037,0.01676410532588641,1.5029189206339135,895435
ERR2241820,49574,0.01545871399988932,1.8463206519546536,571864
ERR2241822,53714,0.015111308728820333,1.5457794988271214,504867
ERR2241825,52542,0.015020499727391896,1.7309200258840547,467031
ERR2241829,46533,0.013737405222362872,1.452238196548686,443908
ERR2241832,49042,0.015692767462541793,1.8240793605481016,559325
ERR2241833,50423,0.015033507701743495,1.3788251393213415,538794
ERR2241834,51426,0.016403578810280206,1.7470054058258468,652651
ERR2241837,49224,0.015196640957259987,1.4844181699983747,570453
ERR2241841,70946,0.015605961447894287,1.6926394722746878,953969
ERR2241842,55706,0.0153746591940264,1.4631368254766093,673190
ERR2241845,57070,0.015145214725408605,1.506211669879096,671881
ERR2241846,58979,0.015372475691786961,1.567837704945828,672090
ERR2241848,33453,0.013189526059416775,2.572310405643739,998771
ERR2241854,39521,0.014124186758490927,2.577907947673389,954288
ERR2241855,37913,0.015098844036801392,2.6262627594756416,861991
ERR2241858,28492,0.017308074541806384,3.9084655341850345,1162988
ERR2241859,41057,0.014658438893046612,2.3893245975107775,958804
ERR2241860,29330,0.010425381249881087,2.743249232867371,798403
ERR2241861,28637,0.011206952723084442,3.393267451199497,802532
ERR2241862,42406,0.015795549433165707,2.660201386596236,1066928
ERR2241866,22403,0.01130954754048842,4.236218363612016,1318612
ERR2241867,53788,0.01477213173921024,1.5260188146054883,740814
ERR2241870,65635,0.01626985250425234,1.5569360859297632,1003218
ERR2241871,46050,0.015514977294493248,1.4506080347448425,551974
ERR2241874,55053,0.015940404436929786,1.4600021797177265,817098
ERR2241876,57049,0.01589724632241063,1.4845133131167942,754786
ERR2241878,57715,0.015530456225399884,1.569436021831413,754837
ERR2241879,60074,0.01598851742871149,1.4455088723907181,822703
ERR2241880,55335,0.016625338298931577,6.633523086654017,1326458
ERR2241881,53148,0.015842342013671264,1.5189094603748023,845234
ERR2241884,53701,0.015200087137326004,1.4754566954060446,823682
ERR2241902,29631,0.008621874905916064,2.537325773682967,977024
ERR2241904,40061,0.01298686523421529,2.3043982926037794,1267920
ERR2241906,17952,0.011572337481989494,3.138675356506239,1056394
ERR2241911,21927,0.010140548303721865,2.762758243261732,841390
ERR2241913,24471,0.009682590583635391,2.3503739119774427,998238
ERR2241917,27369,0.010351725638545702,2.93059666045526,954712
ERR2241920,47843,0.017841690762539098,1.7409234370754343,809982
ERR2241922,35509,0.017812501357968736,1.6273339153454054,424994
ERR2241923,29939,0.012259127197824292,3.1552323056882328,1080071
ERR2241927,22962,0.012051071515565368,4.924679905931539,770439
ERR2241928,44673,0.016770358962221732,1.8694065766794261,659629
ERR2241930,54241,0.01588975705324878,1.8635994911598237,692495
ERR2241933,26241,0.01563443505342393,2.8896002438931445,1244049
ERR2241934,60550,0.01694655891602025,2.104781172584641,972503
ERR2241938,47079,0.018627956140935396,2.416756940461777,960178
ERR2241940,51158,0.017698776951481164,2.5060694319559014,939851
ERR2241942,44384,0.01717001574014407,2.755734048305696,792778
ERR2241945,26599,0.013338584105556718,2.442854994548667,1075450
ERR2241950,25753,0.015553651231403147,3.1555546926571663,951333
ERR2241953,22077,0.01088641214801086,4.899850523168909,743122
ERR2241955,21687,0.008402320644707903,6.402821967077051,979312
ERR2241960,33852,0.016414979778069258,1.45704832801607,382001
ERR2241961,45137,0.01768699764332477,1.5809756962137493,655328
ERR2241966,36827,0.01686251165658653,1.7950009503896598,545562
ERR2241967,44736,0.01727714990424998,1.5934146995708154,537833
ERR2241968,50256,0.018711881359804727,1.845889048073862,1158961
ERR2241969,30898,0.016476455907343847,1.457472975597126,314359
ERR2241971,28084,0.013915617058494287,3.252830793334283,1153963
ERR2241979,22554,0.012419199387513534,3.6575330318347077,882614
ERR2241980,29106,0.018105304264999098,3.5344258915687488,855545
ERR2241981,16269,0.01040522652829479,2.844520253242363,1047747
ERR2241983,25271,0.01066645732746871,4.167385540738396,823405
ERR2241986,22645,0.01101400461107425,4.62382424376242,978266
ERR2245443,51552,0.016226868410462315,1.6171050589695841,684210
ERR2245445,57997,0.01655461913795837,1.671793368622515,983031
ERR2245452,53925,0.01582187459261732,1.5576819656930923,839929
ERR2245454,39868,0.0176624230076788,1.799086987057289,571657
ERR2245457,50880,0.016348635566250436,1.5615172955974843,659972
ERR2245458,48303,0.015808452717504865,1.5165207129991927,640893
ERR2245459,62006,0.016874936351856287,1.6706367125762023,1017003
ERR2245461,63834,0.016346278218653178,1.5685684744806843,791315
ERR2245469,54590,0.01426279108719664,1.5336783293643526,605871
ERR2245471,60768,0.015955866545418734,1.480606569246972,812956
ERR2245474,46635,0.015761487767596387,1.5202744719631178,565820
ERR2245478,69885,0.01585254889878159,1.7695428203477142,994134
ERR2245479,50806,0.015335017226668773,1.5398378144313665,744468
ERR2245482,63267,0.016919994066852122,1.6099862487552752,1042324
ERR2245483,52958,0.01649903531586063,1.56919634427282,790045
ERR2245486,51653,0.016639612238836924,1.5152266083286547,815969
ERR2245488,54439,0.01647254642028247,1.542882859714543,763902
ERR2407577,49841,0.0066925513715966065,3.2905940892036676,780671
ERR2407578,50740,0.00675750526957065,3.3980094599921165,833127
ERR2437276,51764,0.006669462255313613,4.368422069391856,1003736
ERR2437277,52381,0.00671772080838596,4.5718581164926215,1069339
ERR247143,7240,0.02470744322087617,2.0334944751381214,209466
ERR2486115,91,0.003160717527410899,15.192307692307692,2294
ERR2486131,162,0.004195229408368197,10.845679012345679,2974
ERR2486142,168,0.003386362182511242,30.851190476190474,5853
ERR2486144,226,0.0034026749274860195,37.76327433628319,8926
ERR2486163,233,0.003366403146199714,28.6931330472103,9214
ERR2486166,229,0.003342095236700338,20.290393013100438,8090
ERR2486211,63,0.0031780236463884153,137.0,8773
ERR2486216,57,0.003068351498396294,71.5,4916
ERR2486219,6,0.0037107952781064834,5.083333333333333,43
ERR2486255,136,0.0035611469999757453,57.25,15024
ERR2486257,93,0.003483246758486636,72.46236559139786,7509
ERR2486268,105,0.003366392490577021,92.2,15656
ERR2486279,204,0.003525296691761981,68.15196078431373,20401
ERR2486285,149,0.0037451179121671574,40.04362416107382,11247
ERR2486295,95,0.003335846047239523,45.33684210526316,4858
ERR2486297,125,0.0032840880780871167,122.456,18171
ERR2486301,164,0.0032214369595232185,30.8109756097561,11905
ERR2486310,55,0.0033430205334583833,59.53636363636364,3982
ERR2486316,84,0.0035483800202707246,118.42857142857143,17934
ERR2486323,139,0.003500385896424397,120.75179856115108,28627
ERR2486342,65,0.003306828602636619,73.26923076923077,5958
ERR2486357,104,0.003574905952835983,24.072115384615383,3742
ERR2486367,188,0.0032508885827048557,78.36968085106383,18673
ERR2486369,80,0.0032121348261374555,62.15625,8145
ERR2486371,13,0.0030222744144410307,5.153846153846154,107
ERR2486394,92,0.003030970740344044,44.625,7961
ERR2486398,275,0.003350575708896313,37.556363636363635,12741
ERR2486406,174,0.003621434356158246,28.192528735632184,6854
ERR2486419,320,0.0033253197220233094,27.3125,12706
ERR2486420,381,0.0032648789737646307,25.650918635170605,17835
ERR2486452,210,0.0035260304381103777,32.266666666666666,7413
ERR2486462,411,0.0034280139073162488,11.154501216545013,18021
ERR2486470,267,0.003387676826435005,51.172284644194754,16012
ERR2486482,301,0.00334931003456167,16.42691029900332,8826
ERR2564007,100914,0.009762800358212587,1.2974215668787283,559357
ERR2592245,34922,0.00973394820973855,1.5626109615715023,380919
ERR2592246,39249,0.011854587056337105,1.4673367474330556,404111
ERR2592247,40264,0.010482998064323491,1.559594178422412,458405
ERR2592248,30546,0.009860858900067746,1.7906436194591764,359214
ERR2592249,47674,0.009846104930790163,1.5732264966228973,366054
ERR2592250,91008,0.014130609793487348,1.6965651371308017,1875915
ERR2592251,35234,0.010424804125478101,1.337018221036499,243513
ERR2592252,55672,0.01145047362066943,1.4315544618479668,528827
ERR2592253,44040,0.010652550450408551,1.658957765667575,505987
ERR2592254,21827,0.00971083283211199,1.3572868465661796,150630
ERR2592255,47725,0.01144236179008995,1.339748559455212,446210
ERR2592257,21901,0.009465997722988588,1.4357335281493995,161764
ERR2592258,57587,0.011046494805046578,1.3808932571587338,457233
